列1,列2,列3,列4,列5,列6,列7,列8,列9,列10
01,02,03,04,05,06,07,08,09,010
灵药（联谊）,铃儿,灵珊,零食,领舞,令路,令棋（灵气）,淋巴,（保）龄球,衣领
11,12,13,14,15,16,17,18,19,20
十一国庆,屹耳,医生,钥匙,鹦鹉,一路（公交车）,仪器,要发,药酒,二石
21,22,23,24,25,26,27,28,29,30
21世纪,饿鹅,耳塞,饿死（暗室）,二胡,二流子,爱妻（啊嚏）暗器,恶霸,阿胶（两瓶酒）,三菱、山岭
31,32,33,34,35,36,37,38,39,40
鲨鱼,善恶（天使与魔鬼）,山川,善事,珊瑚,三鹿奶粉,山西,三八妇女节,三九感冒令,司令
41,42,43,44,45,46,47,48,49,50
司仪,死鳄鱼,四川,石狮,事物（万事万物）,石榴,司机,丝瓜,死狗,武林盟主
51,52,53,54,55,56,57,58,59,60
劳动节,普洱,武僧,武士,呜呜,物流,武器,58同城,无救（坟墓）,榴莲
61,62,63,64,65,66,67,68,69,70
儿童节,,庐山,律师,路虎,顺意,楼梯,喇叭,漏斗,麒麟
71,72,73,74,75,76,77,78,79,80
奇异果,企鹅,青山,骑士,旗舞,气流,七夕情人,青蛙,气球,巴陵会馆
81,82,83,84,85,86,87,88,89,90
81南昌起义,吧儿狗,爬山,巴士,白虎,八路,白旗,爸爸,芭蕉,精灵
91,92,93,94,95,96,97,98,99,100
旧衣,揪耳,救生,救市,酒壶,酒肉朋友,香港,相约酒吧,舅舅,眼睛
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
